ID,Country,Date,Cum_conf_cases,Cum_susp_cases,Cum_conf_death
428,Senegal,12/23/14,1,0,0
429,Guinea,12/22/14,2259,49,1323
430,Liberia,12/22/14,3085,2991,NA
431,Sierra Leone,12/22/14,6975,1677,2190
432,Mali,12/22/14,7,0,NA
433,Spain,12/22/14,1,0,0
434,United States of America,12/22/14,4,0,1
435,Nigeria,12/22/14,19,0,7
436,Senegal,12/22/14,1,0,0
437,Guinea,12/17/14,2127,26,1262
438,Liberia,12/17/14,2946,3050,NA
439,Sierra Leone,12/17/14,6702,1575,1876
440,Mali,12/17/14,7,0,NA
441,United States of America,12/17/14,4,0,1
442,Nigeria,12/17/14,19,0,7
443,Senegal,12/17/14,1,0,0
444,Spain,12/17/14,1,0,0
445,Guinea,12/15/14,2115,16,1255
446,Liberia,12/15/14,2946,3050,NA
447,Sierra Leone,12/15/14,6638,1556,1824
448,Mali,12/15/14,7,0,NA
449,Spain,12/15/14,1,0,0
450,United States of America,12/15/14,4,0,1
451,Nigeria,12/15/14,19,0,7
452,Senegal,12/15/14,1,0,0
453,Guinea,12/10/14,2051,20,1207
454,Liberia,12/10/14,2830,3075,NA
455,Sierra Leone,12/10/14,6375,1443,1559
456,Mali,12/10/14,7,0,NA
457,United States of America,12/10/14,4,0,1
458,Nigeria,12/10/14,19,0,7
459,Senegal,12/10/14,1,0,0
460,Spain,12/10/14,1,0,0
461,Guinea,12/3/14,1929,25,1117
462,Liberia,12/3/14,2801,3042,NA
463,Sierra Leone,12/3/14,5978,1255,1374
464,Mali,12/3/14,7,0,NA
465,United States of America,12/3/14,4,0,1
466,Nigeria,12/3/14,19,0,7
467,Senegal,12/3/14,1,0,0
468,Spain,12/3/14,1,0,0
469,Guinea,12/1/14,1921,24,1102
470,Liberia,12/1/14,2801,3042,NA
471,Sierra Leone,12/1/14,5831,1199,1321
472,Mali,12/1/14,7,0,NA
473,Spain,12/1/14,1,0,0
474,United States of America,12/1/14,4,0,1
475,Nigeria,12/1/14,19,0,7
476,Senegal,12/1/14,1,0,0
477,Guinea,11/26/14,1850,74,1050
478,Liberia,11/26/14,2727,2687,NA
479,Sierra Leone,11/26/14,5441,1079,1189
480,Mali,11/26/14,7,0,5
481,Spain,11/26/14,1,0,0
482,United States of America,11/26/14,4,0,1
483,Nigeria,11/26/14,19,0,7
484,Senegal,11/26/14,1,0,0
485,Guinea,11/21/14,1745,86,998
486,Liberia,11/21/14,2669,2663,NA
487,Sierra Leone,11/21/14,5152,959,1058
488,Mali,11/21/14,5,0,5
489,Spain,11/21/14,1,0,0
